"month","most_popular_prod","max_q","max_mo","max_dy","max_year","max_st","last_popular_prod","min_q","min_md","min_dy","min_year","min_st"
1,"Eggs",4972,1,3,2004,"NJ","Pepsi",526,1,20,2000,"NJ"
2,"Milk",4794,2,28,2006,"PA","Milk",126,2,5,2007,"PA"
3,"Pepsi",4531,3,22,2004,"CT","Milk",58,3,25,2001,"CT"
4,"Soap",4954,4,6,2003,"PA","Milk",77,4,9,2000,"NY"
5,"Pepsi",4901,5,11,2005,"NY","Bread",232,5,13,2001,"NJ"
5,"Bread",4901,5,30,2008,"NY","Bread",232,5,13,2001,"NJ"
6,"Butter",4969,6,4,2001,"NY","Fruits",26,6,29,2001,"PA"
7,"Cookies",4994,7,17,2003,"CT","Yogurt",17,7,25,2004,"PA"
8,"Yogurt",4909,8,8,2007,"NY","Fruits",24,8,26,2001,"NY"
9,"Pepsi",4942,9,11,2004,"NY","Bread",42,9,28,2005,"PA"
10,"Milk",4870,10,15,2008,"CT","Cookies",132,10,9,2007,"CT"
11,"Milk",4986,11,12,2002,"NY","Coke",81,11,22,2003,"CT"
12,"Cookies",4935,12,18,2007,"PA","Fruits",268,12,17,2004,"CT"
